"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-26",,"87","69"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-27",,"81","68"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-28",,"86","67"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-29",,"90","69"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-30",,"86","72"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-31",,"87","67"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-01",,"85","68"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-02",,"82","64"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-03",,"84","64"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-04",,"72","58"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-05",,"73","52"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-06",,"75","51"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-07",,"79","49"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-08",,"81","54"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-09",,"85","52"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-10",,"86","59"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-11",,"85","64"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-12",,"83","63"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-13",,"77","53"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-14",,"86","51"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-15",,"88","60"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-16",,"86","71"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-17",,"87","67"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-18",,"88","66"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-19",,"87","64"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-20",,"91","67"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-21",,"94","63"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-22",,"78","66"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-23",,"74","61"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-24",,"84","56"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-25",,"87","59"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-26",,"87","62"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-27",,"90","58"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-28",,"91","64"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-29",,"91","73"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-06-30",,"91","69"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-01",,"89","64"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-02",,"86","70"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-03",,"87","69"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-04",,"83","67"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-05",,"85","68"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-06",,"89","66"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-07",,"93","66"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-08",,"81","66"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-09",,"79","62"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-10",,"82","62"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-11",,"84","62"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-12",,"82","61"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-13",,"86","69"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-14",,"80","63"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-15",,"83","53"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-16",,"89","56"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-17",,"88","63"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-18",,"91","67"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-19",,"92","67"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-20",,"94","73"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-21",,"93","74"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-22",,"91","72"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-23",,"94","71"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-24",,"85","69"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-25",,"85","66"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-26",,"83","66"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-27",,"80","59"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-28",,"86","57"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-29",,"79","67"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-30",,"79","62"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-07-31",,"83","57"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-01",,"91","61"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-02",,"95","62"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-03",,"88","68"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-04",,"84","65"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-05",,"82","57"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-06",,"80","54"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-07",,"89","64"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-08",,"91","62"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-09",,"73","66"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-10",,"82","58"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-11",,"86","56"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-12",,"87","57"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-13",,"87","59"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-14",,"84","65"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-15",,"84","62"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-16",,"89","64"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-17",,"89","64"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-18",,"83","66"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-19",,"83","64"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-20",,"73","58"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-21",,"76","58"
